Date,Close,High,Low,Open,Volume
,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
2026-06-08,2288.8935546875,2313.827035675381,2224.0665041190086,2224.0665041190086,44721632
2026-06-09,2298.866943359375,2313.827031927874,2288.8935509803755,2298.866943359375,33252041
2026-06-10,2249.0,2293.880266075388,2249.0,2278.920177383592,42608467
2026-06-11,2250.0,2260.0,2210.0,2240.0,34790220
2026-06-12,2310.0,2325.0,2290.0,2325.0,21560608
